"sid","trialNum","category","storyidx","nextCategory","nextData","nextDataRel","categoryRepetition","storyRepetition"
168,13,"Mode",18,"Mode","random","unrelated",TRUE,FALSE
168,14,"Mode",21,NA,NA,NA,NA,NA
176,0,"Mean",31,"Mean","modified","related",TRUE,TRUE
176,1,"Mean",31,"Mean","random","unrelated",TRUE,FALSE
176,2,"Mean",27,"Mean","modified","related",TRUE,TRUE
176,3,"Mean",27,"Mean","modified","related",TRUE,TRUE
176,4,"Mean",27,"Mean","modified","related",TRUE,TRUE
176,5,"Mean",27,"Median","identical","related",FALSE,TRUE
176,6,"Median",27,"Median","random","unrelated",TRUE,FALSE
176,7,"Median",23,"Mode","identical","related",FALSE,TRUE
176,8,"Mode",23,"Median","modified","related",FALSE,TRUE
176,9,"Median",23,"Median","modified","related",TRUE,TRUE
176,10,"Median",23,"Median","modified","related",TRUE,TRUE
176,11,"Median",23,"Mode","identical","related",FALSE,TRUE
176,12,"Mode",23,"Mode","random","unrelated",TRUE,FALSE
176,13,"Mode",4,"Mode","random","unrelated",TRUE,FALSE
176,14,"Mode",18,"Mode","random","unrelated",TRUE,FALSE
176,15,"Mode",8,"Mode","random","unrelated",TRUE,FALSE
176,16,"Mode",22,NA,NA,NA,NA,NA
177,0,"Mean",16,"Mean","random","unrelated",TRUE,FALSE
177,1,"Mean",27,"Mean","modified","related",TRUE,TRUE
177,2,"Mean",27,"Mean","modified","related",TRUE,TRUE
177,3,"Mean",27,"Mean","modified","related",TRUE,TRUE
177,4,"Mean",27,"Mean","modified","related",TRUE,TRUE
177,5,"Mean",27,"Median","identical","related",FALSE,TRUE
177,6,"Median",27,"Median","modified","related",TRUE,TRUE
177,7,"Median",27,"Median","random","unrelated",TRUE,FALSE
177,8,"Median",6,"Median","random","unrelated",TRUE,FALSE
177,9,"Median",4,"Median","random","unrelated",TRUE,FALSE
177,10,"Median",32,"Mode","identical","related",FALSE,TRUE
177,11,"Mode",32,"Mode","modified","related",TRUE,TRUE
177,12,"Mode",32,"Mode","random","unrelated",TRUE,FALSE
177,13,"Mode",25,"Mode","random","unrelated",TRUE,FALSE
177,14,"Mode",20,"Mode","random","unrelated",TRUE,FALSE
177,15,"Mode",5,NA,NA,NA,NA,NA
181,0,"Mean",4,"Mean","modified","related",TRUE,TRUE
181,1,"Mean",4,"Mean","modified","related",TRUE,TRUE
181,2,"Mean",4,"Mean","modified","related",TRUE,TRUE
181,3,"Mean",4,"Mean","modified","related",TRUE,TRUE
181,4,"Mean",4,"Mean","modified","related",TRUE,TRUE
181,5,"Mean",4,"Median","identical","related",FALSE,TRUE
181,6,"Median",4,"Median","random","unrelated",TRUE,FALSE
181,7,"Median",5,"Median","random","unrelated",TRUE,FALSE
181,8,"Median",12,"Median","random","unrelated",TRUE,FALSE
181,9,"Median",7,"Median","modified","related",TRUE,TRUE
181,10,"Median",7,"Mode","identical","related",FALSE,TRUE
181,11,"Mode",7,"Mode","random","unrelated",TRUE,FALSE
181,12,"Mode",24,"Mode","random","unrelated",TRUE,FALSE
181,13,"Mode",32,"Mode","random","unrelated",TRUE,FALSE
181,14,"Mode",9,"Mode","modified","related",TRUE,TRUE
181,15,"Mode",9,NA,NA,NA,NA,NA
188,0,"Mean",2,"Mean","modified","related",TRUE,TRUE
188,1,"Mean",2,"Mean","modified","related",TRUE,TRUE
188,2,"Mean",2,"Mean","random","unrelated",TRUE,FALSE
188,3,"Mean",31,"Mean","modified","related",TRUE,TRUE
188,4,"Mean",31,"Median","identical","related",FALSE,TRUE
188,5,"Median",31,"Median","random","unrelated",TRUE,FALSE
188,6,"Median",1,"Median","random","unrelated",TRUE,FALSE
188,7,"Median",27,"Median","random","unrelated",TRUE,FALSE
188,8,"Median",20,"Median","random","unrelated",TRUE,FALSE
188,9,"Median",16,"Median","modified","related",TRUE,TRUE
188,10,"Median",16,"Mode","identical","related",FALSE,TRUE
188,11,"Mode",16,"Mode","modified","related",TRUE,TRUE
188,12,"Mode",16,"Mode","random","unrelated",TRUE,FALSE
188,13,"Mode",13,"Mode","random","unrelated",TRUE,FALSE
188,14,"Mode",18,"Mode","modified","related",TRUE,TRUE
188,15,"Mode",18,NA,NA,NA,NA,NA
191,0,"Mean",4,"Mean","modified","related",TRUE,TRUE
191,1,"Mean",4,"Mean","modified","related",TRUE,TRUE
191,2,"Mean",4,"Mean","modified","related",TRUE,TRUE
191,3,"Mean",4,"Mean","random","unrelated",TRUE,FALSE
191,4,"Mean",9,"Median","identical","related",FALSE,TRUE
191,5,"Median",9,"Median","modified","related",TRUE,TRUE
191,6,"Median",9,"Median","modified","related",TRUE,TRUE
191,7,"Median",9,"Median","modified","related",TRUE,TRUE
191,8,"Median",9,"Median","random","unrelated",TRUE,FALSE
191,9,"Median",16,"Mode","identical","related",FALSE,TRUE
191,10,"Mode",16,"Mode","modified","related",TRUE,TRUE
191,11,"Mode",16,"Mode","random","unrelated",TRUE,FALSE
191,12,"Mode",18,"Mode","random","unrelated",TRUE,FALSE
191,13,"Mode",26,"Mode","modified","related",TRUE,TRUE
191,14,"Mode",26,"Mode","random","unrelated",TRUE,FALSE
191,15,"Mode",10,NA,NA,NA,NA,NA
216,0,"Mean",9,"Mean","modified","related",TRUE,TRUE
216,1,"Mean",9,"Mean","modified","related",TRUE,TRUE
216,2,"Mean",9,"Mean","random","unrelated",TRUE,FALSE
216,3,"Mean",28,"Mean","modified","related",TRUE,TRUE
216,4,"Mean",28,"Median","identical","related",FALSE,TRUE
216,5,"Median",28,"Median","modified","related",TRUE,TRUE
216,6,"Median",28,"Median","random","unrelated",TRUE,FALSE
216,7,"Median",7,"Median","modified","related",TRUE,TRUE
216,8,"Median",7,"Median","modified","related",TRUE,TRUE
216,9,"Median",7,"Median","modified","related",TRUE,TRUE
216,10,"Median",7,"Mode","identical","related",FALSE,TRUE
216,11,"Mode",7,"Mode","modified","related",TRUE,TRUE
216,12,"Mode",7,"Mode","random","unrelated",TRUE,FALSE
216,13,"Mode",1,"Mode","random","unrelated",TRUE,FALSE
216,14,"Mode",15,"Mode","random","unrelated",TRUE,FALSE
216,15,"Mode",30,"Mode","random","unrelated",TRUE,FALSE
216,16,"Mode",31,NA,NA,NA,NA,NA
236,0,"Mean",10,"Mean","modified","related",TRUE,TRUE
236,1,"Mean",10,"Mean","modified","related",TRUE,TRUE
236,2,"Mean",10,"Mean","modified","related",TRUE,TRUE
236,3,"Mean",10,"Mean","modified","related",TRUE,TRUE
236,4,"Mean",10,"Mode","identical","related",FALSE,TRUE
236,5,"Mode",10,"Mode","modified","related",TRUE,TRUE
236,6,"Mode",10,"Mode","modified","related",TRUE,TRUE
236,7,"Mode",10,"Mode","random","unrelated",TRUE,FALSE
236,8,"Mode",13,"Mode","modified","related",TRUE,TRUE
236,9,"Mode",13,"Mode","random","unrelated",TRUE,FALSE
236,10,"Mode",16,"Median","identical","related",FALSE,TRUE
236,11,"Median",16,"Median","modified","related",TRUE,TRUE
236,12,"Median",16,"Median","random","unrelated",TRUE,FALSE
236,13,"Median",17,"Median","random","unrelated",TRUE,FALSE
236,14,"Median",25,"Median","modified","related",TRUE,TRUE
236,15,"Median",25,NA,NA,NA,NA,NA
237,0,"Mean",12,"Mean","modified","related",TRUE,TRUE
237,1,"Mean",12,"Mean","modified","related",TRUE,TRUE
237,2,"Mean",12,"Mean","modified","related",TRUE,TRUE
237,3,"Mean",12,"Mean","modified","related",TRUE,TRUE
237,4,"Mean",12,"Mean","modified","related",TRUE,TRUE
237,5,"Mean",12,"Mean","modified","related",TRUE,TRUE
237,6,"Mean",12,"Median","identical","related",FALSE,TRUE
237,7,"Median",12,"Median","random","unrelated",TRUE,FALSE
